 #  SO virial mass [solar mass]  red-shift  b 
  2.3599784110E+05  3.6805029903E-02  7.1201758659E-01
  2.3599784110E+05  3.9742109192E-02  7.1202650992E-01
  2.3599784110E+05  4.2913570433E-02  7.1203624409E-01
  2.3599784110E+05  4.6338117547E-02  7.1204687066E-01
  2.3599784110E+05  5.0035947047E-02  7.1205848058E-01
  2.3599784110E+05  5.4028867150E-02  7.1207117550E-01
  2.3599784110E+05  5.8340426388E-02  7.1208506919E-01
  2.3599784110E+05  6.2996052495E-02  7.1210028923E-01
  2.3599784110E+05  6.8023202359E-02  7.1211697897E-01
  2.3599784110E+05  7.3451523959E-02  7.1213529973E-01
  2.3599784110E+05  7.9313031213E-02  7.1215543346E-01
  2.3599784110E+05  8.5642292783E-02  7.1217758576E-01
  2.3599784110E+05  9.2476635943E-02  7.1220198938E-01
  2.3599784110E+05  9.9856366727E-02  7.1222890836E-01
  2.3599784110E+05  1.0782500763E-01  7.1225864279E-01
  2.3599784110E+05  1.1642955428E-01  7.1229153447E-01
  2.3599784110E+05  1.2572075261E-01  7.1232797342E-01
  2.3599784110E+05  1.3575339814E-01  7.1236840556E-01
  2.3599784110E+05  1.4658665911E-01  7.1241334175E-01
  2.3599784110E+05  1.5828442547E-01  7.1246336834E-01
  2.3599784110E+05  1.7091568562E-01  7.1251915959E-01
  2.3599784110E+05  1.8455493335E-01  7.1258149226E-01
  2.3599784110E+05  1.9928260709E-01  7.1265126285E-01
  2.3599784110E+05  2.1518556436E-01  7.1272950775E-01
  2.3599784110E+05  2.3235759400E-01  7.1281742714E-01
  2.3599784110E+05  2.5089996929E-01  7.1291641306E-01
  2.3599784110E+05  2.7092204523E-01  7.1302808246E-01
  2.3599784110E+05  2.9254190344E-01  7.1315431626E-01
  2.3599784110E+05  3.1588704860E-01  7.1329730531E-01
  2.3599784110E+05  3.4109516039E-01  7.1345960458E-01
  2.3599784110E+05  3.6831490545E-01  7.1364419699E-01
  2.3599784110E+05  3.9770681421E-01  7.1385456863E-01
  2.3599784110E+05  4.2944422755E-01  7.1409479729E-01
  2.3599784110E+05  4.6371431916E-01  7.1436965673E-01
  2.3599784110E+05  5.0071919938E-01  7.1468473923E-01
  2.3599784110E+05  5.4067710714E-01  7.1504659995E-01
  2.3599784110E+05  5.8382369709E-01  7.1546292652E-01
  2.3599784110E+05  6.3041342936E-01  7.1594273862E-01
  2.3599784110E+05  6.8072107024E-01  7.1649662280E-01
  2.3599784110E+05  7.3504331267E-01  7.1713700889E-01
  2.3599784110E+05  7.9370052598E-01  7.1787849569E-01
  2.3599784110E+05  8.5703864533E-01  7.1873823511E-01
  2.3599784110E+05  9.2543121183E-01  7.1973638608E-01
  2.3599784110E+05  9.9928157557E-01  7.2089665183E-01
  2.3599784110E+05  1.0790252744E+00  7.2224691712E-01
  2.3599784110E+05  1.1651326025E+00  7.2382000547E-01
  2.3599784110E+05  1.2581113840E+00  7.2565458102E-01
  2.3599784110E+05  1.3585099681E+00  7.2779622524E-01
  2.3599784110E+05  1.4669204626E+00  7.3029872436E-01
  2.3599784110E+05  1.5839822262E+00  7.3322561114E-01
  2.3599784110E+05  1.7103856391E+00  7.3665201495E-01
  2.3599784110E+05  1.8468761745E+00  7.4066688405E-01
  2.3599784110E+05  1.9942587952E+00  7.4537565611E-01
  2.3599784110E+05  2.1534027008E+00  7.5090347331E-01
  2.3599784110E+05  2.3252464539E+00  7.5739905201E-01
  2.3599784110E+05  2.5108035155E+00  7.6503934442E-01
  2.3599784110E+05  2.7111682218E+00  7.7403515866E-01
  2.3599784110E+05  2.9275222379E+00  7.8463793172E-01
  2.3599784110E+05  3.1611415273E+00  7.9714790378E-01
  2.3599784110E+05  3.4134038766E+00  8.1192397652E-01
  2.3599784110E+05  3.6857970212E+00  8.2939562031E-01
  2.3599784110E+05  3.9799274192E+00  8.5007724644E-01
  2.3599784110E+05  4.2975297259E+00  8.7458557948E-01
  2.3599784110E+05  4.6404770237E+00  9.0366064363E-01
  2.3599784110E+05  5.0107918691E+00  9.3819114928E-01
  2.3599784110E+05  5.4106582205E+00  9.7924518795E-01
  2.3599784110E+05  5.8424343185E+00  1.0281073859E+00
  2.3599784110E+05  6.3086665938E+00  1.0863238756E+00
  2.3599784110E+05  6.8121046848E+00  1.1557567509E+00
  2.3599784110E+05  7.3557176540E+00  1.2386500539E+00
  2.3599784110E+05  7.9427114979E+00  1.3377097247E+00
  2.3599784110E+05  8.5765480550E+00  1.4562005416E+00
  2.3599784110E+05  9.2609654221E+00  1.5980636948E+00
  2.3599784110E+05  1.0000000000E+01  1.7680594103E+00
  3.0267631238E+05  5.0000000000E-03  7.1201139221E-01
  3.0267631238E+05  5.3990051491E-03  7.1201257803E-01
  3.0267631238E+05  5.8298513201E-03  7.1201386029E-01
  3.0267631238E+05  6.2950794591E-03  7.1201524700E-01
  3.0267631238E+05  6.7974332828E-03  7.1201674683E-01
  3.0267631238E+05  7.3398754590E-03  7.1201836924E-01
  3.0267631238E+05  7.9256050794E-03  7.1202012447E-01
  3.0267631238E+05  8.5580765267E-03  7.1202202370E-01
  3.0267631238E+05  9.2410198469E-03  7.1202407907E-01
  3.0267631238E+05  9.9784627473E-03  7.1202630380E-01
  3.0267631238E+05  1.0774754351E-02  7.1202871230E-01
  3.0267631238E+05  1.1634590844E-02  7.1203132028E-01
  3.0267631238E+05  1.2563043175E-02  7.1203414487E-01
  3.0267631238E+05  1.3565586958E-02  7.1203720479E-01
  3.0267631238E+05  1.4648134767E-02  7.1204052047E-01
  3.0267631238E+05  1.5817071007E-02  7.1204411426E-01
  3.0267631238E+05  1.7079289562E-02  7.1204801062E-01
  3.0267631238E+05  1.8442234458E-02  7.1205223636E-01
  3.0267631238E+05  1.9913943760E-02  7.1205682084E-01
  3.0267631238E+05  2.1503096980E-02  7.1206179633E-01
  3.0267631238E+05  2.3219066263E-02  7.1206719825E-01
  3.0267631238E+05  2.5071971662E-02  7.1207306559E-01
  3.0267631238E+05  2.7072740821E-02  7.1207944129E-01
  3.0267631238E+05  2.9233173419E-02  7.1208637267E-01
  3.0267631238E+05  3.1566010763E-02  7.1209391203E-01
  3.0267631238E+05  3.4085010929E-02  7.1210211717E-01
  3.0267631238E+05  3.6805029903E-02  7.1211105208E-01
  3.0267631238E+05  3.9742109192E-02  7.1212078774E-01
  3.0267631238E+05  4.2913570433E-02  7.1213140298E-01
  3.0267631238E+05  4.6338117547E-02  7.1214298548E-01
  3.0267631238E+05  5.0035947047E-02  7.1215563293E-01
  3.0267631238E+05  5.4028867150E-02  7.1216945437E-01
  3.0267631238E+05  5.8340426388E-02  7.1218457171E-01
  3.0267631238E+05  6.2996052495E-02  7.1220112150E-01
  3.0267631238E+05  6.8023202359E-02  7.1221925695E-01
  3.0267631238E+05  7.3451523959E-02  7.1223915030E-01
  3.0267631238E+05  7.9313031213E-02  7.1226099556E-01
  3.0267631238E+05  8.5642292783E-02  7.1228501164E-01
  3.0267631238E+05  9.2476635943E-02  7.1231144609E-01
  3.0267631238E+05  9.9856366727E-02  7.1234057936E-01
  3.0267631238E+05  1.0782500763E-01  7.1237272979E-01
  3.0267631238E+05  1.1642955428E-01  7.1240825946E-01
  3.0267631238E+05  1.2572075261E-01  7.1244758106E-01
  3.0267631238E+05  1.3575339814E-01  7.1249116581E-01
  3.0267631238E+05  1.4658665911E-01  7.1253955286E-01
  3.0267631238E+05  1.5828442547E-01  7.1259336029E-01
  3.0267631238E+05  1.7091568562E-01  7.1265329797E-01
  3.0267631238E+05  1.8455493335E-01  7.1272018277E-01
  3.0267631238E+05  1.9928260709E-01  7.1279495633E-01
  3.0267631238E+05  2.1518556436E-01  7.1287870607E-01
  3.0267631238E+05  2.3235759400E-01  7.1297268986E-01
  3.0267631238E+05  2.5089996929E-01  7.1307836517E-01
  3.0267631238E+05  2.7092204523E-01  7.1319742328E-01
  3.0267631238E+05  2.9254190344E-01  7.1333182972E-01
  3.0267631238E+05  3.1588704860E-01  7.1348387183E-01
  3.0267631238E+05  3.4109516039E-01  7.1365621488E-01
  3.0267631238E+05  3.6831490545E-01  7.1385196813E-01
  3.0267631238E+05  3.9770681421E-01  7.1407476266E-01
  3.0267631238E+05  4.2944422755E-01  7.1432884305E-01
  3.0267631238E+05  4.6371431916E-01  7.1461917524E-01
  3.0267631238E+05  5.0071919938E-01  7.1495157352E-01
  3.0267631238E+05  5.4067710714E-01  7.1533284990E-01
  3.0267631238E+05  5.8382369709E-01  7.1577098985E-01
  3.0267631238E+05  6.3041342936E-01  7.1627535908E-01
  3.0267631238E+05  6.8072107024E-01  7.1685694693E-01
  3.0267631238E+05  7.3504331267E-01  7.1752865293E-01
  3.0267631238E+05  7.9370052598E-01  7.1830562469E-01
  3.0267631238E+05  8.5703864533E-01  7.1920565643E-01
  3.0267631238E+05  9.2543121183E-01  7.2024966016E-01
  3.0267631238E+05  9.9928157557E-01  7.2146222359E-01
  3.0267631238E+05  1.0790252744E+00  7.2287227200E-01
