 # k        T(k) 
  1.9421746815E-02  4.3821088134E-01
  1.9828839491E-02  4.3042976920E-01
  2.0244465100E-02  4.2267596447E-01
  2.0668802496E-02  4.1495768588E-01
  2.1102034286E-02  4.0728324708E-01
  2.1544346900E-02  3.9966099771E-01
  2.1995930680E-02  3.9209926271E-01
  2.2456979955E-02  3.8460628116E-01
  2.2927693129E-02  3.7719014589E-01
  2.3408272762E-02  3.6985874519E-01
  2.3898925662E-02  3.6261970779E-01
  2.4399862973E-02  3.5548035213E-01
  2.4911300261E-02  3.4844764076E-01
  2.5433457613E-02  3.4152814046E-01
  2.5966559729E-02  3.3472798820E-01
  2.6510836019E-02  3.2805286288E-01
  2.7066520700E-02  3.2150796221E-01
  2.7633852901E-02  3.1509798384E-01
  2.8213076759E-02  3.0882710933E-01
  2.8804441534E-02  3.0269898933E-01
  2.9408201706E-02  2.9671672792E-01
  3.0024617091E-02  2.9088286420E-01
  3.0653952951E-02  2.8519934866E-01
  3.1296480107E-02  2.7966751256E-01
  3.1952475058E-02  2.7428802835E-01
  3.2622220097E-02  2.6906085982E-01
  3.3306003436E-02  2.6398520130E-01
  3.4004119327E-02  2.5905940594E-01
  3.4716868189E-02  2.5428090416E-01
  3.5444556740E-02  2.4964611443E-01
  3.6187498124E-02  2.4515034979E-01
  3.6946012052E-02  2.4078772473E-01
  3.7720424934E-02  2.3655106848E-01
  3.8511070023E-02  2.3243185181E-01
  3.9318287557E-02  2.2842013567E-01
  4.0142424905E-02  2.2450455071E-01
  4.0983836718E-02  2.2067231725E-01
  4.1842885079E-02  2.1690931550E-01
  4.2719939663E-02  2.1320021502E-01
  4.3615377892E-02  2.0952867179E-01
  4.4529585099E-02  2.0587759900E-01
  4.5462954695E-02  2.0222951558E-01
  4.6415888336E-02  1.9856697280E-01
  4.7388796097E-02  1.9487305549E-01
  4.8382096649E-02  1.9113194945E-01
  4.9396217439E-02  1.8732956147E-01
  5.0431594872E-02  1.8345417259E-01
  5.1488674501E-02  1.7949709954E-01
  5.2567911220E-02  1.7545333362E-01
  5.3669769455E-02  1.7132212149E-01
  5.4794723369E-02  1.6710744860E-01
  5.5943257062E-02  1.6281838359E-01
  5.7115864781E-02  1.5846924211E-01
  5.8313051135E-02  1.5407953083E-01
  5.9535331308E-02  1.4967363821E-01
  6.0783231283E-02  1.4528024716E-01
  6.2057288068E-02  1.4093145725E-01
  6.3358049927E-02  1.3666162018E-01
  6.4686076615E-02  1.3250591062E-01
  6.6041939623E-02  1.2849867633E-01
  6.7426222418E-02  1.2467163380E-01
  6.8839520696E-02  1.2105199856E-01
  7.0282442643E-02  1.1766065959E-01
  7.1755609189E-02  1.1451052460E-01
  7.3259654282E-02  1.1160517251E-01
  7.4795225156E-02  1.0893795172E-01
  7.6362982613E-02  1.0649165271E-01
  7.7963601304E-02  1.0423886150E-01
  7.9597770023E-02  1.0214306386E-01
  8.1266192001E-02  1.0016052032E-01
  8.2969585208E-02  9.8242869255E-02
  8.4708682666E-02  9.6340343723E-02
  8.6484232757E-02  9.4405412424E-02
  8.8296999555E-02  9.2396582508E-02
  9.0147763145E-02  9.0282041710E-02
  9.2037319966E-02  8.8042778309E-02
  9.3966483150E-02  8.5674809869E-02
  9.5936082871E-02  8.3190184133E-02
  9.7946966707E-02  8.0616493412E-02
  1.0000000000E-01  7.7994768616E-02
  1.0209606623E-01  7.5375785658E-02
  1.0423606740E-01  7.2815012956E-02
  1.0642092441E-01  7.0366634065E-02
  1.0865157747E-01  6.8077266760E-02
  1.1092898649E-01  6.5980137432E-02
  1.1325413152E-01  6.4090524578E-02
  1.1562801312E-01  6.2403229509E-02
  1.1805165286E-01  6.0892649460E-02
  1.2052609369E-01  5.9515719051E-02
  1.2305240044E-01  5.8217575106E-02
  1.2563166025E-01  5.6939337053E-02
  1.2826498305E-01  5.5626954139E-02
  1.3095350205E-01  5.4239739961E-02
  1.3369837418E-01  5.2757083764E-02
  1.3650078065E-01  5.1181966638E-02
  1.3936192742E-01  4.9540348534E-02
  1.4228304572E-01  4.7876198034E-02
  1.4526539259E-01  4.6242809748E-02
  1.4831025143E-01  4.4691927369E-02
  1.5141893253E-01  4.3262855393E-02
  1.5459277364E-01  4.1973993589E-02
  1.5783314057E-01  4.0818919637E-02
  1.6114142773E-01  3.9768249509E-02
  1.6451905878E-01  3.8777154271E-02
  1.6796748721E-01  3.7796901563E-02
  1.7148819699E-01  3.6787530662E-02
  1.7508270317E-01  3.5728185941E-02
  1.7875255259E-01  3.4622024306E-02
  1.8249932448E-01  3.3494017767E-02
  1.8632463119E-01  3.2382092124E-02
  1.9023011887E-01  3.1324261276E-02
  1.9421746815E-01  3.0345958231E-02
  1.9828839491E-01  2.9451958117E-02
  2.0244465100E-01  2.8625864910E-02
  2.0668802496E-01  2.7837427079E-02
  2.1102034286E-01  2.7054889754E-02
